,disease
542,"Adenoma, Microcystic"
543,"Adenoma, Monomorphic"
544,"Adenoma, Trabecular"
545,Adenomatous Polyposis Coli
546,Adenomatous Polyps
547,"Adenosine Triphosphate, Elevated, Of Erythrocytes"
548,Adenosine deaminase deficiency
549,Adenosine monophosphate deaminase deficiency
550,Adenosquamous Pancreas Carcinoma
551,Adenovirus Infection
552,"Adenylate Kinase Deficiency, Hemolytic Anemia Due To"
553,Adenylosuccinate lyase deficiency (disorder)
554,Adenylosuccinate lyase deficiency type 1
555,Adenylosuccinate lyase deficiency type 2
556,Adenylosuccinate lyase deficiency type 3
557,Adenylosuccinate lyase deficiency type 4
558,Adiadochokinesis
559,Adiponectin Deficiency
560,Adjustment Disorders
561,Adjustment Sleep Disorder
562,Adolescent Gynecomastia
563,Adolescent Obesity
564,Adolescent Overweight
565,Adrenal Cancer
566,Adrenal Cortex Diseases
567,Adrenal Cortex Neoplasms
568,Adrenal Cortical Adenoma
569,Adrenal Gland Diseases
570,Adrenal Gland Neoplasms
571,Adrenal Gland Pheochromocytoma
572,"Adrenal Hypoplasia, Cytomegalic Type"
573,"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal"
574,Adrenal cortical hypofunction
575,Adrenal gland hypofunction
576,Adrenal hyperplasia 2
577,"Adrenal hyperplasia, congenital, type 5"
578,Adrenocortical carcinoma
579,Adrenocorticotropic hormone (ACTH) deficiency (disorder)
580,Adrenoleukodystrophy
581,"Adrenoleukodystrophy, Neonatal"
582,Adrenomyeloneuropathy
583,Adult Acute Lymphocytic Leukemia
584,Adult Acute Myeloblastic Leukemia
585,Adult Craniopharyngioma
586,Adult Diffuse Large B-Cell Lymphoma
587,Adult Fanconi syndrome
588,Adult Glycogen Storage Disease Type II
589,Adult Hepatocellular Carcinoma
590,Adult Hodgkin Lymphoma
591,Adult Learning Disorders
592,Adult Malignant Peripheral Nerve Sheath Tumor
593,Adult Medulloblastoma
594,Adult Neuroaxonal Dystrophy
595,Adult Neuronal Ceroid Lipofuscinosis
596,Adult Oligodendroglioma
597,Adult Pelizaeus-Merzbacher Disease
598,Adult Rickets
599,Adult Sandhoff Disease
600,Adult T-Cell Lymphoma/Leukemia
601,Adult Type Ovarian Granulosa Cell Tumor
602,Adult hypophosphatasia (disorder)
603,Adult junctional epidermolysis bullosa (disorder)
604,Adult only
605,Adult onset autosomal dominant leukodystrophy
606,Adult type dermatomyositis
607,Adult-Onset Dystonias
608,Adult-Onset Idiopathic Focal Dystonias
609,Adult-Onset Idiopathic Torsion Dystonias
610,Adult-Onset Vitelliform Macular Dystrophy
611,Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy
612,Adult-onset citrullinemia type 2
613,Adult-onset distal myopathy due to valosin containing protein mutation
614,Advanced Sleep Phase Syndrome
615,"Advanced Sleep-Phase Syndrome, Familial"
616,Advanced bone age
617,Adverse Event by CTCAE Category
618,Adverse reaction to drug
619,"Affective Disorders, Psychotic"
620,Afibrinogenemia
621,African Burkitt's lymphoma
622,African Swine Fever
623,Agammaglobulinemia
624,"Agammaglobulinemia, non-Bruton type"
625,"Aganglionosis, Colonic"
626,"Aganglionosis, Rectosigmoid Colon"
627,Age related macular degeneration
628,Age-Related Macular Degeneration
629,Age-Related Macular Degeneration type 11
630,Age-Related Memory Disorders
631,Age-related cortical cataract
632,Agenesis of corpus callosum
633,Aggressive Periodontitis
634,Aggressive Systemic Mastocytosis
635,Agranulocytosis
636,Agricultural Workers' Diseases
637,Agyria
638,Aicardi-Goutieres Syndrome 2
639,Airway Obstruction
640,Akathisia
641,Akinetic Petit Mal
642,Akinetic-Rigid Variant of Huntington Disease
643,Al Awadi syndrome
644,Alagille Syndrome
645,Alagille Syndrome 1
646,Alagille Syndrome 2
647,"Albers-Schonberg Disease, Autosomal Recessive"
648,Albinism
649,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells
650,"Albinism, Ocular"
651,"Albinism, Oculocutaneous"
652,"Albinism, Tyrosinase-Negative"
653,"Albinism, Tyrosinase-Positive"
654,"Albinism, Yellow-Mutant"
655,Albright's hereditary osteodystrophy
656,Albuminuria
657,Alcohol Related Birth Defect
658,Alcohol Related Neurodevelopmental Disorder
659,Alcohol Toxicity
660,Alcohol Use Disorder
661,Alcohol Withdrawal Delirium
662,Alcohol Withdrawal Seizures
663,Alcohol Withdrawal-Induced Major Motor Seizure
664,Alcohol abuse
665,Alcohol consumption during pregnancy
666,Alcohol withdrawal syndrome
667,Alcohol-Induced Disorders
668,"Alcohol-Induced Disorders, Nervous System"
669,Alcohol-Related Disorders
670,Alcoholic Cardiomyopathy
671,Alcoholic Hepatitis
672,Alcoholic Intoxication
673,"Alcoholic Intoxication, Chronic"
674,Alcoholic Liver Diseases
675,Alcoholic Steatohepatitis
676,Alexander Disease
677,Alexia
678,Alkaline phosphatase raised
679,Alkalosis
680,Alkaptonuria
681,Allan-Herndon-Dudley syndrome (AHDS)
682,Allanson Pantzar McLeod syndrome
683,Allergic Asthma
684,Allergic Contact Dermatitis
685,Allergic Reaction
686,Allergic Rhinitis
687,"Allergic Rhinitis,Perennial"
688,Allergic rhinitis (disorder)
689,Allergy
690,Allergy to peanuts
691,Allodynia
692,Alloxan Diabetes
693,Alobar Holoprosencephaly
694,Alopecia
695,Alopecia Areata
696,Alopecia congenita keratosis palmoplantaris
697,Alopecia universalis
698,Alopecia universalis congenita
699,"Alopecia, Male Pattern"
700,"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome"
701,Alopecia-Mental Retardation Syndrome 1
702,Alpers Syndrome (disorder)
703,Alpha thalassemia intermedia
704,Alpha-Aminoadipic Semialdehyde Deficiency Disease
705,Alpha-B Crystallinopathy
706,Alpha-Methylacyl-CoA Racemase Deficiency
707,Alpha-Sarcoglycanopathies
708,"Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type"
709,Alpha-Thalassemia Myelodysplasia Syndrome
710,Alpha-thalassemia/mental retardation syndrome (301040) is an allelic disorder
711,Alport Syndrome
712,"Alport Syndrome, Autosomal Dominant"
713,"Alport Syndrome, Autosomal Recessive"
714,"Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis"
715,"Alport Syndrome, X-Linked"
716,"Alport syndrome, dominant type"
717,"Alport syndrome, recessive type"
718,Alstrom Syndrome
719,Alternating hemiplegia of childhood
720,Alveolar Bone Loss
721,Alveolar Rhabdomyosarcoma
722,Alveolar Soft Part Sarcoma
723,Alveolar capillary dysplasia
724,Alveolar pyorrhea
725,Alveolar rhabdomyosarcoma
726,"Alveolitis, Fibrosing"
727,Alzheimer Disease
728,Alzheimer Disease 9
729,"Alzheimer Disease, Early Onset"
730,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
731,"Alzheimer Disease, Late Onset"
732,"Alzheimer disease, familial, type 3"
733,Alzheimer's Disease
734,"Alzheimer's Disease, Focal Onset"
735,Amaurosis
736,"Amaurosis congenita of Leber, type 1"
737,Amaurosis hypertrichosis
738,Amaurotic Familial Idiocy
739,Ambiguous Genitalia
740,Ameloblastoma
741,Amelogenesis Imperfecta
742,Amelogenesis Imperfecta hypomaturation type
743,"Amelogenesis Imperfecta, Hypomaturation Type, Iia1"
744,"Amelogenesis Imperfecta, Hypomaturation Type, Iia2"
745,"Amelogenesis Imperfecta, Hypomaturation Type, Iia3"
746,"Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth"
747,"Amelogenesis Imperfecta, Type IB"
748,"Amelogenesis Imperfecta, Type III"
749,"Amelogenesis Imperfecta, Type IV"
750,"Amelogenesis Imperfecta, Type Ic"
751,Amelogenesis imperfecta local hypoplastic form
752,Amelogenesis imperfecta nephrocalcinosis
753,Amelogenesis imperfecta pigmented hypomaturation type
754,"Amelogenesis imperfecta, hypocalcified type (primary and secondary teeth)"
755,"Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism"
756,Amenorrhea
757,Ametropia
758,"Amino Acid Metabolism, Inborn Errors"
759,"Amino Acid Metabolism, Inherited Disorders"
760,Aminoacylase 1 deficiency
761,Aminoacylase 2 Deficiency
762,Amish Brittle Hair Brain Syndrome
763,Amish Infantile Epilepsy Syndrome
764,Amnesia
765,Amnestic State
766,Amphetamine Abuse
767,Amphetamine Addiction
768,Amphetamine-Related Disorders
769,Amygdalo-Hippocampal Epilepsy
770,"Amylo-1,6-glucosidase deficiency"
771,"Amyloid Neuropathies, Familial"
772,"Amyloid Polyneuropathy, British Type (disorder)"
773,"Amyloid Polyneuropathy, Iowa Type"
774,"Amyloid Polyneuropathy, Swiss Type"
775,Amyloidosis
776,Amyloidosis cutis dyschromia
777,"Amyloidosis, Familial"
778,"Amyloidosis, Primary Cutaneous"
779,"Amyloidosis, familial visceral"
780,Amyotrophic Lateral Sclerosis
781,Amyotrophic Lateral Sclerosis 10
782,"Amyotrophic Lateral Sclerosis 4, Juvenile"
783,"Amyotrophic Lateral Sclerosis 6, Autosomal Recessive"
784,Amyotrophic Lateral Sclerosis 9
785,Amyotrophic Lateral Sclerosis With Dementia
786,"Amyotrophic Lateral Sclerosis, Chmp2B-Related"
787,"Amyotrophic Lateral Sclerosis, Familial"
788,"Amyotrophic Lateral Sclerosis, Guam Form"
789,"Amyotrophic Lateral Sclerosis, Sporadic"
790,"Amyotrophy, monomelic"
791,Anal carcinoma
792,Analbuminemia
793,Anaplasia
794,Anaplastic Astrocytoma
795,Anaplastic Ependymoma
796,"Anaplastic Large Cell Lymphoma, ALK-Positive"
797,Anaplastic Oligoastrocytoma
798,Anaplastic Oligodendroglioma
799,Anaplastic astrocytoma
800,Anaplastic carcinoma
801,Anaplastic thyroid carcinoma
802,Anasarca
803,Anauxetic dysplasia
804,Ancell-Spiegler cylindromas
805,Andersen Syndrome
806,Androgen Receptor Deficiency
807,Androgen-Insensitivity Syndrome
808,Androgenetic Alopecia
809,Anemia
810,"Anemia, Diamond-Blackfan"
811,"Anemia, Diamond-Blackfan, 3"
812,"Anemia, Hemolytic"
813,"Anemia, Hemolytic, Acquired"
814,"Anemia, Hemolytic, Congenital"
815,"Anemia, Hemolytic, Congenital Nonspherocytic"
816,"Anemia, Hemolytic, Idiopathic Acquired"
817,"Anemia, Hypochromic Microcytic, With Iron Overload"
818,"Anemia, Macrocytic"
819,"Anemia, Megaloblastic"
820,"Anemia, Microangiopathic"
821,"Anemia, Neonatal"
822,"Anemia, Sickle Cell"
823,"Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive"
824,"Anemia, Splenic"
825,"Anemia, hereditary spherocytic hemolytic"
826,Anencephaly
827,Aneuploidy
828,Aneurysm
829,"Aneurysm, Anterior Cerebral Artery"
830,"Aneurysm, Anterior Communicating Artery"
831,"Aneurysm, Basilar Artery"
832,"Aneurysm, Dissecting"
833,"Aneurysm, Middle Cerebral Artery"
834,"Aneurysm, Posterior Cerebral Artery"
835,"Aneurysm, Posterior Communicating Artery"
836,Aneurysmal Subarachnoid Hemorrhage
837,Angel shaped phalangoepiphyseal dysplasia
838,Angelman Syndrome
839,Angina Pectoris
840,"Angina, Unstable"
841,Angioblastic Meningioma
842,Angiocentric glioma
843,Angioedema
844,"Angioedemas, Hereditary"
845,Angioendotheliomatosis
846,Angioimmunoblastic Lymphadenopathy
847,Angiokeratoma
848,Angiolipoma
849,Angiolymphoid hyperplasia
850,Angioma
851,Angiomatous Meningioma
852,Angiomyolipoma
853,"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps"
854,Angiosarcoma
855,Angle Closure Glaucoma
856,Anhedonia
857,Anhydramnios
858,Anhydrotic Ectodermal Dysplasias
859,Animal Mammary Neoplasms
860,Aniridia
861,Aniridia type 2
862,Anisometropia
863,Ankylosing Spondylitis
864,Ankylosing spondylitis
865,Ankylosis
866,Anophthalmos
867,Anorectal Malformations
868,Anorectal atresia
869,Anorexia
870,Anorexia Nervosa
871,Anosmia
872,Anovulation
873,Anoxemia
874,Anoxia
875,Anoxia of brain
876,"Anoxia-Ischemia, Brain"
877,"Anoxia-Ischemia, Cerebral"
878,Anoxic Encephalopathy
879,Anoxic-Ischemic Encephalopathy
880,Anterior Cerebral Circulation Infarction
881,Anterior Choroidal Artery Infarction
882,Anterior Circulation Brain Infarction
883,Anterior Horn Cell Disease
884,Anterior Ischemic Optic Neuropathy
885,Anterior pituitary hypoplasia
886,Anterior segment mesenchymal dysgenesis
887,Anthracosis
888,"Anti-plasmin deficiency, congenital"
889,Antibody Deficiency Syndrome
890,Antibody Deficiency due to Defect in CD19
891,Antiphospholipid Syndrome
892,Antisocial Personality Disorder
893,Antithrombin III Deficiency
894,Antley-Bixler Syndrome Phenotype
895,Antley-Bixler Syndrome with Disordered Steroidogenesis
896,"Antley-Bixler Syndrome, Autosomal Dominant"
897,Anuria
898,Anus Neoplasm
899,Anus Neoplasms
900,"Anus, Imperforate"
901,Anxiety
902,Anxiety Disorders
903,"Anxiety States, Neurotic"
904,Anxiety neurosis (finding)
905,Aortic Aneurysm
906,"Aortic Aneurysm, Abdominal"
907,"Aortic Aneurysm, Familial Thoracic 6"
908,"Aortic Aneurysm, Ruptured"
909,"Aortic Aneurysm, Thoracic"
910,"Aortic Aneurysm, Thoracoabdominal"
911,Aortic Diseases
912,Aortic Insufficiency
913,Aortic Rupture
914,Aortic Stenosis
915,Aortic Valve Disease
916,Aortic Valve Disease 1
917,Aortic Valve Insufficiency
918,"Aortic aneurysm, familial thoracic 3"
919,"Aortic aneurysm, familial thoracic 4"
920,Aortic valve calcification
921,Aortic valve disorder
922,Aortitis Syndrome
923,Apert syndrome
924,Apert-Crouzon Disease
925,"Aphakia, congenital primary"
926,Aphasia
927,"Aphasia, Acquired"
928,"Aphasia, Ageusic"
929,"Aphasia, Auditory Discriminatory"
930,"Aphasia, Commisural"
931,"Aphasia, Functional"
932,"Aphasia, Global"
933,"Aphasia, Graphomotor"
934,"Aphasia, Intellectual"
935,"Aphasia, Mixed"
936,"Aphasia, Post-Ictal"
937,"Aphasia, Post-Traumatic"
938,"Aphasia, Progressive"
939,"Aphasia, Semantic"
940,"Aphasia, Syntactical"
941,Aplasia Cutis Congenita
942,Aplasia of Lacrimal and Salivary Glands
943,Aplasia/Hypoplasia of the thumb
944,Aplastic Anemia
945,"Aplastic anemia, idiopathic"
946,Apnea
947,"Apnea, Postanesthetic"
948,Apolipoprotein A-I deficiency
949,Apolipoprotein C-II Deficiency (disorder)
950,Apolipoprotein C-III Deficiency
951,Apparent mineralocorticoid excess
952,Appendicitis
953,Appetite Disorders
954,Apraxia of Phonation
955,"Apraxia, Articulatory"
956,"Apraxia, Developmental Verbal"
957,"Apraxia, Facial-Oral"
958,"Apraxia, Gestural"
959,"Apraxia, Motor"
960,"Apraxia, Oral"
961,"Apraxia, Verbal"
962,Apraxias
963,Aprosencephaly
964,Aprosodia
965,Aqueductal Stenosis
966,Arachnodactyly
967,Arakawa syndrome 2
968,Arenaviridae Infections
969,Argentaffinoma
970,Arginine:Glycine Amidinotransferase Deficiency
971,"Argininosuccinic Acid Synthetase Deficiency Disease, Partial"
972,"Argininosuccinic Acid Synthetase Deficiency, Complete"
973,Argininosuccinic Aciduria
974,Arhinencephaly
975,"Arhinia, choanal atresia, and microphthalmia"
976,Arima syndrome
977,Arnold Chiari Malformation
978,"Arnold-Chiari Malformation, Type I"
979,"Arnold-Chiari Malformation, Type III"
980,"Arnold-Chiari Malformation, Type IV"
981,Aromatase deficiency
982,Aromatic amino acid decarboxylase deficiency
983,Arrest of spermatogenesis
984,Arrhythmia
985,Arrhythmogenic Right Ventricular Dysplasia
986,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10"
987,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 11"
988,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 12"
989,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 8"
990,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 9"
991,Arsenic Encephalopathy
992,Arsenic Induced Polyneuropathy
993,Arsenic Poisoning
994,"Arsenic Poisoning, Inorganic"
995,Arterial Calcification of Infancy
996,"Arterial Diseases, Common Carotid"
997,Arterial Fatty Streak
998,"Arterial Occlusive Disease, Progressive, with Hypertension, Heart Defects, Bone Fragility, and Brachysyndactyly"
999,Arterial Occlusive Diseases
1000,Arterial calcification of infancy
1001,Arteriosclerosis
1002,Arteriosclerosis Obliterans
1003,Arteriosclerotic Dementia
1004,Arteriovenous Malformation
1005,Arteriovenous Malformations of the Brain
1006,"Arteriovenous Malformations, Cerebral"
1007,Arteriovenous malformation of liver
1008,Arteritis
1009,Arthralgia
1010,Arthritis
1011,"Arthritis, Adjuvant-Induced"
1012,"Arthritis, Bacterial"
1013,"Arthritis, Collagen-Induced"
1014,"Arthritis, Experimental"
1015,"Arthritis, Gouty"
1016,"Arthritis, Infectious"
1017,"Arthritis, Psoriatic"
1018,"Arthritis, Suppurative"
1019,"Arthritis, Viral"
1020,Arthrogryposis
1021,"Arthrogryposis multiplex congenita, distal, X-linked"
1022,"Arthrogryposis, renal dysfunction, and cholestasis 1"
1023,Arthropathy
1024,Arylsulfatase A Deficiency
1025,As If Personality
1026,Asbestosis
1027,Ascites
1028,Aseptic Meningitis
1029,Aseptic Necrosis of Bone
1030,Aseptic Necrosis of Femur Head
1031,Aspartylglucosamidase (AGA) deficiency
1032,Aspartylglucosaminuria
1033,Asperger Syndrome
1034,Aspergillosis
1035,Asphyxia
1036,Asphyxia Neonatorum
1037,Asphyxiating Thoracic Dystrophy 1
1038,Asphyxiating Thoracic Dystrophy 2
1039,Aspiration Pneumonia
1040,Asplenia Syndrome
1041,Asterixis
1042,Asthenia
1043,Asthenozoospermia
1044,Asthma
1045,"Asthma, Aspirin-Induced"
1046,"Asthma, Nasal Polyps, And Aspirin Intolerance"
1047,"Asthma, Occupational"
1048,Astrocytoma
1049,Astrocytosis
1050,Asymmetric Diabetic Proximal Motor Neuropathy
1051,Asymmetric crying face association
1052,Asymptomatic
1053,Asymptomatic Inflammatory Prostatitis
1054,Ataxia
1055,Ataxia Telangiectasia
1056,"Ataxia with Lactic Acidosis, Type I"
1057,Ataxia with vitamin E deficiency
1058,"Ataxia, Appendicular"
1059,"Ataxia, Motor"
1060,"Ataxia, Sensory"
1061,"Ataxia, Spastic, 3, Autosomal Recessive"
1062,"Ataxia, Spinocerebellar"
1063,"Ataxia, Truncal"
1064,Ataxia-Telangiectasia Variant
1065,Ataxia-Telangiectasisa-Like Disorder 1
1066,"Ataxias, Hereditary"
1067,Atelosteogenesis Type 3
1068,Atelosteogenesis type 2
1069,"Atelosteogenesis, type 1"
1070,Athabaskan brainstem dysgenesis
1071,Athabaskan severe combined immunodeficiency
1072,Atherogenesis
1073,Atheroma
1074,Atherosclerosis
1075,Atherosclerotic Parkinsonism
1076,Athetoid cerebral palsy
1077,Atkin syndrome
1078,Atonic Absence Seizures
1079,Atopic Dermatitis
1080,Atrial Fibrillation
1081,"Atrial Fibrillation, Familial, 3"
1082,"Atrial Fibrillation, Familial, 4"
1083,"Atrial Fibrillation, Familial, 6"
1084,"Atrial Fibrillation, Familial, 7"
1085,Atrial Septal Defect 3
1086,Atrial Septal Defect 4
1087,Atrial Septal Defect 5
1088,Atrial Septal Defect 6
1089,Atrial Septal Defect Sinus Venosus
1090,Atrial Septal Defect with Atrioventricular Conduction Defects
1091,Atrial Septal Defects
1092,"Atrial myxoma, familial"
1093,Atrial septal defect 2
1094,Atrial standstill
1095,Atrioventricular Block
1096,Atrioventricular Septal Defect
1097,"Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome"
1098,Atrophic
1099,Atrophic Gastritis
1100,Atrophoderma vermiculatum
1101,"Atrophy, Muscular, Spinobulbar"
1102,Attention Deficit Disorder
1103,Attention Deficit and Disruptive Behavior Disorders
1104,Attention deficit hyperactivity disorder
1105,Attenuated Chédiak-Higashi syndrome
1106,Atypical Ductal Breast Hyperplasia
1107,Atypical Endometrial Hyperplasia
1108,Atypical Hemolytic Uremic Syndrome
1109,Atypical Inclusion-Body Disease
1110,"Atypical Mycobacteriosis, Familial"
1111,"Atypical Mycobacteriosis, Familial, X-Linked 2"
1112,Atypical Teratoid Rhabdoid Tumor
1113,Atypical Teratoid Tumor
1114,Atypical Werner syndrome
1115,Atypical juvenile parkinsonism
1116,Audiogram shows sloping configuration
1117,Auditory Inattention
1118,"Auditory Neuropathy, Nonsyndromic Recessive"
1119,Auditory Perceptual Disorders
1120,"Auditory Processing Disorder, Central"
1121,Auditory neuropathy
1122,Auditory neuropathy spectrum disorder
1123,Aura
1124,Auriculo-Ventricular Dissociation
1125,Auriculo-condylar syndrome
1126,Auriculocondylar syndrome 1
1127,Autism Spectrum Disorder
1128,Autism Spectrum Disorders
1129,Autistic Disorder
1130,Autistic behavior
1131,Autistic features
1132,Autoimmune Chronic Hepatitis
1133,Autoimmune Diseases
1134,Autoimmune Diseases of the Nervous System
1135,Autoimmune Hepatitis
1136,Autoimmune Lymphoproliferative Syndrome
1137,"Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant"
1138,Autoimmune Lymphoproliferative Syndrome Type 2B
1139,"Autoimmune Lymphoproliferative Syndrome, Type IIA"
1140,"Autoimmune Polyendocrinopathy Syndrome, Type I, Autosomal Dominant"
1141,"Autoimmune Syndrome Type II, Polyglandular"
1142,Autoimmune Thyroiditis
1143,Autoimmune hemolytic anemia
1144,"Autoimmune polyendocrinopathy syndrome, type 1"
1145,Autoimmune state
1146,Autoimmune thyroiditis
1147,Autoinflammatory disorder
1148,Autonomic nervous system disorders
1149,Autosomal Chromosome Disorders
1150,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)
1151,Autosomal Dominant Familial Dystonia
1152,Autosomal Dominant Hereditary Pancreatitis
1153,Autosomal Dominant Juvenile Parkinson Disease
1154,Autosomal Dominant Lateral Temporal Lobe Epilepsy
1155,Autosomal Dominant Myotubular Myopathy
1156,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
1157,Autosomal Dominant Parkinsonism
1158,Autosomal Dominant Polycystic Kidney Disease
1159,Autosomal Hemophilia A
1160,Autosomal Recessive Centronuclear Myopathy
1161,Autosomal Recessive Cerebellar Ataxia Type 1
1162,Autosomal Recessive Chronic Granulomatous Disease
1163,Autosomal Recessive Emery-Dreifuss Muscular Dystrophy
1164,Autosomal Recessive Familial Dystonia
1165,Autosomal Recessive Hereditary Spastic Paraplegia
1166,Autosomal Recessive Parkinsonism
1167,Autosomal Recessive Polycystic Kidney Disease
1168,Autosomal Recessive Primary Microcephaly
1169,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation
1170,Autosomal dominant beta2-microglobulinic amyloidosis
1171,Autosomal dominant hyperinsulinism due to Kir6.2 deficiency
1172,Autosomal dominant hyperinsulinism due to SUR1 deficiency
1173,Autosomal dominant hypocalcemia
1174,Autosomal dominant hypohidrotic ectodermal dysplasia syndrome (disorder)
1175,Autosomal dominant hypophosphatemic rickets
1176,Autosomal dominant ichthyosis
1177,Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain
1178,Autosomal dominant macrothrombocytopenia
1179,Autosomal dominant neovascular inflammatory vitreoretinopathy
1180,Autosomal dominant spondylocostal dysostosis
1181,Autosomal dominant vitreoretinochoroidopathy
1182,Autosomal recessive cerebellar ataxia with late-onset spasticity
1183,Autosomal recessive cerebral atrophy
1184,Autosomal recessive facio-digito-genital syndrome
1185,Autosomal recessive hypophosphatemic vitamin D refractory rickets
1186,Autosomal recessive limb girdle muscular dystrophy type 2S
1187,Autosomal recessive myogenic arthrogryposis multiplex congenita
1188,Autosomal recessive sideroblastic anemia
1189,Autosomal recessive spastic paraplegia type 59
1190,Autosomal recessive spastic paraplegia type 67
1191,Autosomal recessive spastic paraplegia type 70
1192,Autosome Abnormalities
1193,Avascular Necrosis of Femur Head
1194,Avascular necrosis of bone
1195,Avellino corneal dystrophy
1196,Avoidant Personality Disorder
1197,Awakening Epilepsy
1198,Axenfeld anomaly (disorder)
1199,Axenfeld syndrome
1200,"Axenfeld-Rieger Syndrome, Type 1"
1201,Axenfeld-Rieger syndrome
1202,Ayazi syndrome
1203,Azoospermia
1204,"Azoospermia, Nonobstructive"
1205,Azotemia
1206,B Virus Infection
1207,B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY
1208,"B-CELL MALIGNANCY, LOW-GRADE"
1209,B-Cell Lymphomas
1210,B-cell Childhood Acute Lymphoblastic Leukemia
1211,BAINBRIDGE-ROPERS SYNDROME
1212,BAKER-GORDON SYNDROME
1213,BAND HETEROTOPIA
1214,BARAITSER-WINTER SYNDROME 2
1215,BARDET-BIEDL SYNDROME 10
1216,BARDET-BIEDL SYNDROME 11
1217,BARDET-BIEDL SYNDROME 12
1218,BARDET-BIEDL SYNDROME 13
1219,BARDET-BIEDL SYNDROME 14 (disorder)
1220,BARDET-BIEDL SYNDROME 15
1221,BARDET-BIEDL SYNDROME 16
1222,BARDET-BIEDL SYNDROME 17
1223,BARDET-BIEDL SYNDROME 18
1224,BARDET-BIEDL SYNDROME 19
1225,BARDET-BIEDL SYNDROME 20
1226,BARDET-BIEDL SYNDROME 21
1227,BARDET-BIEDL SYNDROME 5
1228,BARDET-BIEDL SYNDROME 6
1229,BARDET-BIEDL SYNDROME 7
